id,main_db_topic_id,subject_id,subject_label,name,grade,class_level,level_tag,topic_family,classes,last_synced_at,status,created_at,updated_at
132,587,1,math,Compound Probability,grade 7,,Advanced,Probability,5,"""2026-05-21T10:19:30.058Z""",active,"""2026-05-21T10:15:51.366Z""","""2026-05-21T10:19:30.058Z"""
133,588,1,math,Coordinate Geometry,grade 4,,Beginner,Coordinate Geometry,4,"""2026-05-21T10:19:30.093Z""",active,"""2026-05-21T10:15:51.430Z""","""2026-05-21T10:19:30.093Z"""
134,589,1,math,Geometric Transformations,grade 5,,Beginner,Geometry,4,"""2026-05-21T10:19:30.145Z""",active,"""2026-05-21T10:15:51.462Z""","""2026-05-21T10:19:30.145Z"""
135,590,1,math,Coordinate Transformations,grade 6,,Elementary,Coordinate Geometry,4,"""2026-05-21T10:19:30.269Z""",active,"""2026-05-21T10:15:51.624Z""","""2026-05-21T10:19:30.269Z"""
136,591,1,math,Circle Geometry,grade 7,,Beginner,Geometry,5,"""2026-05-21T10:19:30.321Z""",active,"""2026-05-21T10:15:51.669Z""","""2026-05-21T10:19:30.322Z"""
137,592,1,math,Linear Graphs & Relationships,grade 7,,Beginner,Coordinate Geometry,5,"""2026-05-21T10:19:30.362Z""",active,"""2026-05-21T10:15:51.774Z""","""2026-05-21T10:19:30.362Z"""
138,593,1,math,Pythagoras Theorem,grade 7,,Beginner,Geometry,5,"""2026-05-21T10:19:30.427Z""",active,"""2026-05-21T10:15:51.839Z""","""2026-05-21T10:19:30.427Z"""
139,594,1,math,Systems of Linear Equations,grade 8,,Elementary,Patterns & Algebra,6,"""2026-05-21T10:19:30.474Z""",active,"""2026-05-21T10:15:51.899Z""","""2026-05-21T10:19:30.474Z"""
140,595,1,math,Linear Functions & Graphs,grade 8,,Elementary,Coordinate Geometry,5,"""2026-05-21T10:19:30.523Z""",active,"""2026-05-21T10:15:51.958Z""","""2026-05-21T10:19:30.523Z"""
141,596,1,math,Scatter Plots & Correlation,grade 8,,Beginner,Data & Statistics,4,"""2026-05-21T10:19:30.567Z""",active,"""2026-05-21T10:15:51.994Z""","""2026-05-21T10:19:30.567Z"""
142,597,1,math,Budgeting & Simple Interest,grade 5,,Beginner,Financial Literacy,3,"""2026-05-21T10:19:30.622Z""",active,"""2026-05-21T10:15:52.029Z""","""2026-05-21T10:19:30.623Z"""
143,598,1,math,"Tax, Interest & Financial Decisions",grade 7,,Intermediate,Financial Literacy,4,"""2026-05-21T10:19:30.664Z""",active,"""2026-05-21T10:15:52.156Z""","""2026-05-21T10:19:30.664Z"""
